name,description,ingredients,etapes,source
Roast Duck Breast with Black Truffle Cream Sauce,Roast Duck Breast with Black Truffle Cream Sauce,"Ingredients  Shaved black truffles  1/4 cup milk  1/2 cup heavy cream  2 tablespoons butter  salt & pepper  salt & pepper  1 1/2 pounds duck breast(s), if frozen needs to be thawed","Step by stepHeat oven to 350 degrees F. Rinse duck breasts and wipe dry with paper towels. Using a sharp knife, cut diamond patterns in the fat. Be careful not to score the meat. Season with salt and pepper.Heat an oven-safe heavy-bottomed stainless steel pan or a KitchenAid® Professional Cast Iron Casserole on medium high for 3 to 4 minutes. (If using a cast iron pot, add a couple of drops of olive oil and distribute with a paper towel by rubbing.) Cook duck, non-fat side down for about 60 to 90 seconds. Lower heat to medium or medium low and cook the duck fat side down for about 10 to 12 minutes until fat is rendered and the skin is browned. Remove the duck fat and place in a small bowl.Move pot to the KitchenAid® Electric Freestanding Double Oven Range and allow the duck breasts to roast for about 6 to 8 minutes or until the meat is medium rare. Remove pot from oven and place duck on a plate or cutting board. Allow the duck breast to rest for at least 5 to 6 minutes before slicing.After removing the duck from the pan, place pan back on medium heat and melt butter. Add heavy cream and milk and allow increase heat and bring to a boil. Reduce to simmer and allow the liquid to reduce, about 5 minutes. Remove from heat and add black truffles.Serve duck breast with black truffle cream sauce and your favorite potato dish. I served this dish with a mashed potato and carrot side dish.",kitchenaid
Roasted Tomatillo-Garlic Salsa and Chopped Chinese Chicken Salad with Sesame Vinaigrette,Roasted Tomatillo-Garlic Salsa and Chopped Chinese Chicken Salad with Sesame Vinaigrette,Ingredients  1/8 teaspoon fresh black pepper  2 1/2 teaspoons sugar  1/3 cup vegetable oil  1/3 cup seasoned rice wine vinegar  1 tablespoon low sodium soy sauce  2 tablespoons toasted sesame oil  1 cup shelled and cooked edamame  1/3 cup sliced almonds  3 cups shredded cooked chicken  2 medium carrots  1 medium cucumber  1 small head purple cabbage  2 hearts romaine lettuce,"Step by stepUsing a sharp knife, shred the romaine lettuce into thin ribbons and add it to a large serving bowl.Halve and core the purple cabbage, and then cut it into small wedges. Attach the shredding blade to the food processor. Push the cabbage wedges into the feed tube and then transfer the shredded cabbage to the serving bowl with the lettuce.Wash and peel the cucumber and carrots. (If needed, cut them into smaller pieces to fit into the food processor feed tube.) Shred the cucumber and carrots in the food processor and then transfer them to the serving bowl.Add the shredded chicken, sliced almonds and edamame to the serving bowl, tossing to combine.Make the vinaigrette: Whisk together all ingredients in a small bowl.Add the vinaigrette to the salad, tossing to combine. Serve immediately.",kitchenaid
Seared Tuna with Kohlrabi Carrot Slaw,Seared Tuna with Kohlrabi Carrot Slaw,"Ingredients  1 teaspoon sesame seeds  1 tablespoon vegetable oil  2 tuna steaks (6 ounces each)  1 teaspoon hot Chinese mustard  1 clove garlic, minced  1/4 cup soy sauce  1/2 teaspoon salt  1/2 teaspoon grated lime peel  1 1/2 teaspoons agave nectar  1 tablespoon dark sesame oil  2 tablespoons fresh lime juice  2 tablespoons wasabi powder  3 tablespoons unseasoned rice vinegar  2 green onions, sliced  1 cup shredded celery cabbage or savoy cabbage  2 medium carrots, julienned  2 medium kohlrabi, peeled","Step by stepAttach Spiralizer Attachment to KitchenAid® Stand Mixer. Center one kohlrabi on fruit and vegetable skewer; attach to Spiralizer. Attach medium spiralizing blade to stand mixer and position at end of kohlrabi. Place medium bowl below blade to catch kohlrabi. Turn stand mixer to speed 6 and process until blade reaches end of kohlrabi. Repeat with remaining kohlrabi. Add carrots, cabbage and green onions to bowl. Refrigerate until ready to use; can be made up to 6 hours ahead.For dressing, combine vinegar, wasabi powder, lime juice, sesame oil, agave, lime peel and salt in small jar with tight-fitting lid; shake until well blended. Refrigerate until ready to use; can be made up to 2 days ahead.Combine soy sauce, garlic and mustard in shallow glass dish. Add tuna; turn to coat. Marinate at room temperature 10 minutes.Heat vegetable oil in medium skillet over medium-high heat. Add tuna; cook about 2 minutes per side or until desired degree of doneness. Transfer to cutting board; let stand 5 minutes. Cut into 1/4-inch slices.Divide kohlrabi mixture among 4 serving plates. Top with tuna and drizzle with dressing. Sprinkle with sesame seeds.",kitchenaid
Banana Bread Granola,,"Ingredients  1/4 cup cacao nibs (optional)  1/2 cup raw walnuts, roughly chopped (optional)  3 cups (270 grams) thick rolled oats  1/4 teaspoon fine sea salt  1 teaspoon ground cinnamon  3 tablespoons (45 grams) pure maple syrup  1/4 cup (60 grams) raw walnut butter  3 tablespoons (30 grams) refined coconut oil, melted (cooled)  2 medium (210 grams) over-ripe bananas","Step by stepAdd the bananas to a large mixing bowl and mash with the back of a fork until the mixture resembles purée with a few larger clumps.Whisk in the coconut oil and walnut butter, followed by the pure maple syrup. Add the cinnamon, salt, and rolled oats and mix (with a spatula or wooden spoon) to combine. Set the mixture aside to allow the oats to soak up a bit of the moisture; about 10 minutes.Prepare your baking pan by lining the compact broil pan (sans rack) with parchment paper. Once the granola mixture is ready, pour it onto the prepared pan and spread evenly across the pan.Place the granola on the bottom rack of the KitchenAid® Compact Oven with the temperature set to 325˚ F. Then set the timer to 55-60 minutes. Once the timer reaches 30 minutes, give the granola a gentle toss. And then when it reaches 10 minutes, add the walnuts and cacao nibs, if using.",kitchenaid
Asian Pork Tacos,Asian Pork Tacos,"Ingredients  Sweet chili sauce (I use Frank’s Red Hot Sweet Chili Sauce, but you can use whatever brand you prefer)  1 bunch fresh cilantro  1 cup chopped red onion  24 corn tortillas  12 ounces root beer  2 pounds pork tenderloin","Step by stepPrepare your KitchenAid® Slow Cooker. I like to use a Slow Cooker liner to make cleanup easier.Place the pork tenderloin in the Slow Cooker, then pour root beer over the pork. Set the Slow Cooker on low for 6-7 hours, until the pork comes apart easily.Once the pork is cooked, place it into the bowl of your KitchenAid® Stand Mixer. Using the flat beater attachment, turn the Stand Mixer on low to shred the pork. It should take less than a minute to shred.Fill your tortillas with the shredded pork and then add onion, cilantro and sweet chile sauce.Store leftovers in the refrigerator.",kitchenaid
Roasted Cauliflower Hummus (bean-free),Uses [KitchenAid® K400 Blender](https://yummly.app.link/riAWRIPkd1).,"Ingredients  1 tablespoon finely chopped flat-leaf parsley (to serve)  1 pinch cayenne pepper  1/8 teaspoon smoked paprika  1 teaspoon minced garlic (1 clove, plus more to taste)  3 tablespoons fresh lemon juice (plus more to taste)  1/3 cup hulled tahini (plus more to taste)  1 teaspoon sea salt (plus more to taste)  1/4 cup extra-virgin olive oil (plus more for serving)  1 medium head cauliflower (cut into florets (6 cups/690g))","Step by stepPreheat the oven to 400°F/200°C. Line a large baking tray with a silicone liner or parchment paper.Toss the cauliflower florets with 1 tablespoon of the olive oil and a pinch of the salt, and lay out on the prepared baking tray.Roast for about 30 minutes, turning occasionally, until the cauliflower is tender and starting to brown.Transfer the roasted cauliflower, the remaining olive oil and salt, and the other ingredients to your KitchenAid® blender in the order listed. Secure the lid, remove the center lid cap, and insert the tamper. Blend on high for 30 to 60 seconds using the tamper to guide the ingredients through the blades until well combined and to your desired consistency. (You may need to stop the machine and scrape down the sides of the container.)",kitchenaid
Grilled Red Snapper with Green Harissa Sauce,Grilled Red Snapper with Green Harissa Sauce,"Ingredients  1/2 teaspoon pepper  1/2 teaspoon salt  2 tablespoons lime juice  2 tablespoons lemon juice  1 whole Red Snapper (about 1 lb.), cleaned  1/2 teaspoon pepper  1/2 teaspoon salt  olive oil  1 teaspoon fresh mint  1/2 inch piece fresh ginger  1/4 cup cilantro  1 tablespoon coriander seeds  2 tablespoons cumin  1/4 cup parsley  2 cloves garlic  spinach  1/2 cup green onion, coarsley chopped  1 jalapeno pepper, seeded and coarsley chopped","Step by stepPreheat grill to medium-high heat.Place all ingredients for Green Harissa Sauce in blender. Pulse in setting 2 (stir) 6-7 times until ingredients are finely chopped. Do not over process. Set aside until ready to use. Can be made and stored in refrigerator up to 3 days.Measure lemon and lime juice in 9 x 13 glass baking pan. Add fish and turn to coat. Let fish marinate in juices 10 minutes. Remove from pan and pat dry. Season fish with salt and pepper. Place fish directly on grill rack. Grill 6 minutes, turn fish over and continue grilling 6-7 minutes longer. Serve fish with Green Harissa Sauce and fresh lemon wedges.",kitchenaid
Cucumber Sandwiches,Cucumber Sandwiches,"Ingredients  1 teaspoon Italian parsley, minced  1/4 cup kalamata olives - pitted, coarsely chopped  1 small clove garlic, minced  1 teaspoon lemon juice  2 tablespoons mayonnaise  4 oz. cream cheese, softened  1 10-inch baguette, sliced  1 small English cucumber, cut into 4-inch lengths","Step by stepAttach Fresh Prep Slicer/Shredder Attachment to KitchenAid® Stand Mixer, and attach slicingblade. Position large bowl under attachment to catch cucumber slices. Fill feed tube withcucumber sections. Turn stand mixer to speed 6 and process. Repeat with remaining cucumbersections. Set aside until ready to use.In small bowl, combine cream cheese, mayonnaise, lemon juice, garlic, kalamata olives and Italian parsley. Spread 1 tablespoon cream cheese olive spread over each baguette slice. Top with 3 cucumber slices. Serve immediately.",kitchenaid
Creamy Zucchini Succotash with Grilled Shrimp Skewers,Creamy Zucchini Succotash with Grilled Shrimp Skewers,"Ingredients  8 (8-inch) bamboo skewers, soaked in water 30 minutes  1 pound shrimp (26-30 count) peeled, deveined, tail removed  2 tablespoons oil (canola or safflower)  1/2 teaspoon minced fresh garlic  1/4 teaspoon pepper  1 teaspoon seasoning salt  1 tablespoon lemon juice  Lemon wedges  2 tablespoons torn basil leaves  1⁄3 cup chopped flat leaf parsley  1 tablespoon lemon juice, plus more for squeezing  1/2 cup heavy cream  1 cup shelled fresh or frozen edamame, thawed  1 cup fresh or frozen corn, thawed  1/2 cup dry white wine  1/2 teaspoon fresh thyme leaves  1/4 teaspoon pepper  1/2 teaspoon kosher salt  1/2 teaspoon minced fresh garlic  1 cup thinly sliced sweet red pepper  1/2 cup finely chopped shallot  5 strips bacon, cut in 1/4” pieces  1 large summer squash (approx. 8” x 2”)  1 large zucchini (approx. 8” x 2”)","Step by stepMarinate shrimp by combining lemon juice, seasoning salt, pepper, garlic and oil in shallow dish. Thread shrimp onto bamboo skewers and place in dish, turning to coat in mixture. Refrigerate until ready to grill (no longer than 20 minutes.)Attach Spiralizer Attachment to the KitchenAid® Stand Mixer. Trim ends of zucchini and squash. Center zucchini on fruit and vegetable skewer; attach to Spiralizer. Attach fine spiralizing blade and position at end of zucchini. Turn stand mixer to speed 4 and process until blade reaches end of zucchini. Repeat with summer squash. Cut spiralized vegetables into 4 to 6 inch lengths.Preheat grill or grill pan to medium-high heat. Rub grill grates or grill pan with oil.Heat a 12-inch skillet over medium heat. Add bacon, cook until crispy, about 4 minutes. Remove with slotted spoon to paper towel lined plate. Pour off all but 1 tablespoon bacon fat. Add shallots, peppers and garlic to pan, season with salt, pepper and thyme and cook 2 to 3 minutes or until softened. Add wine to pan, scrape up any browned bits. Simmer until reduced by half, 1 to 2 minutes.Grill shrimp, cooking until opaque all the way through, about 5 minutes. Remove cooked shrimp to plate. Covered with foil to keep warm. Add corn, Edamame and spiralized zucchini and squash to shallot mixture. Cook, stirring over medium-heat for 4 minutes. Add cream and lemon juice. Cook over medium-high heat 2 minutes, stirring constantly, until slightly thickened. Stir in parsley and bacon. Divide between 4 plates, top with shrimp skewers, torn basil and lemon wedges.",kitchenaid
Pecan Coconut Cups,Pecan Coconut Cups,"Ingredients  1/2 cup dark chocolate chips  1/2 teaspoon vanilla  1/4 teaspoon salt  1 1/2 tablespoons runny honey  1 1/2 tablespoons natural peanut butter  1 1/2 tablespoons soft coconut oil  1 cup light packed, pitted soft dates (must be soft dates)  1 cup coarsely chopped pecans  3/4 cup unsweetened, shredded coconut  3/4 cup old fashioned oats","Step by stepAdd the unsweetened oats (be sure to use certified gluten-free if needed), coconut and chopped pecans to your KitchenAid® 9-Cup Food Processor with ExactSlice™ System. Process on high for about 20 seconds, then pulse a few more so that you have a coarse meal. Set aside in a separate bowl.Bring the pitted dates, honey, peanut butter, coconut oil and salt to a light simmer, stirring to coat the dates. This helps to infuse them with liquid and flavor, also making them easier to break down. Cook for 4 minutes.Pour the warm date mixture into the Food Processor, add vanilla, and blend on high for 30 seconds. The dates will start to break up into little pieces, then meld into a ball. Stop and scrape down the sides, then process for 30 to 50 more seconds, until dates are smooth, almost like a paste.Next, grease your spatula and press the sticky date mixture into the dry ingredients to get it started. Then rub your hand with a bit of coconut oil, and use them to squeeze and work the dry ingredients into the date mixture. It takes a little bit of elbow grease, but after a bit of pressing and squeezing the ingredients will combine. If you’re still having trouble, add 1 more tablespoon of honey to help combine the ingredients if need be.Fill a 1/4 cup measuring cup with the mixture, and fill each cavity in your Muffin Pan from your KitchenAid® Nonstick 5-Piece Bakeware Set, using the back of the measuring cup to push down very firmly so that the mixture forms the shape.Put in the refrigerator for 10 minutes. Remove with a knife by gently scraping the inside edge of each cavity.Melt dark chocolate chips in microwave on medium high power in spurts of 30 seconds, stirring, until just melted. Should be smooth and silky. Then dip tops of mounds into dark chocolate and let sit at room temperature until set. Store in a covered container for up to 1 week.",kitchenaid
